title,author,description,link,platforms,pg,example_download_link
Secret Little Haven,Victoria Dominowski,"A game about a trans girl discovering herself through fandom, chats, and the early internet.",https://ristar.itch.io/secret-little-haven,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Hex Kit,Cone Of Negative Energy,Hex Mapping tool for table top RPGs,https://cone.itch.io/hex-kit,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Changeling,Steamberry Studio,Mystery and romance ensue when our MC is unwittingly drawn into a dangerous paranormal community,https://steamberry.itch.io/changeling,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
ISLANDS: Non-Places,Carlburton LLC,A surreal trip through the mundane,https://carlburton.itch.io/islands,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Haque,Super∴Try,/hak/ Fight cute monsters! Avoid death! Save the Game,https://supertry.itch.io/haque,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Loot Rascals,Hollow Ponds,"A TALE OF FRIENDSHIP, LOSS AND REDEMPTION... IN OUTER SPACE!",https://hollowponds.itch.io/lootrascals/download/6strsK9JzuQ2FB8mmuIHbssv3FpaTfWIKZStlvrj,Windows,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
2064: Read Only Memories,MidBoss,A New Cyberpunk Adventure,https://midboss.itch.io/rom,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Quiet as a Stone,Distant Lantern,Throw Rocks Plant Trees. Ambient slow game for casual creators. Countryside exploration and creation.,https://distantlantern.itch.io/quietasastone,"Windows, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Babysitter Bloodbath,Puppet Combo,"A simple night of babysitting turns into an unspeakable nightmare.. VHS era, low poly slasher. PS1 style survival horror",https://puppetcombo.itch.io/babysitter-bloodbath,Windows,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
DragonRuby Game Toolkit,DragonRuby,"An intuitive 2D game engine. Fast, cross-platform, tiny, hot loaded.",https://dragonruby.itch.io/dragonruby-gtk,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Troika! Numinous Edition,Melsonian Arts Council,The Other world's favourite fantasy RPG,https://melsonian-arts-council.itch.io/troika-numinous-edition,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
From Orbit,Tentacle Head Games,A quick and light single player Action RTS.,https://tentaclehead.itch.io/from-orbit,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Democratic Socialism Simulator,molleindustria,Pave the road to a post-capitalist society,https://molleindustria.itch.io/democratic-socialism-simulator,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Depth of Extinction,HOF Studios,Explore a flooded world in this tactical RPG,https://hofstudios.itch.io/doe,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Tonight We Riot,Means Interactive,A revolutionary crowd-based retro brawler,https://meansinteractive.itch.io/tonight-we-riot,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Catlateral Damage,Manekoware,The premier first-person destructive house cat simulator!,https://manekoware.itch.io/catlateral-damage,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Crashed Lander,Don Whitaker,"Outwit gravity, explore new worlds.",https://don-whitaker.itch.io/crashedlander,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
The Space Between,chrstphfr,The Space Between is a surreal narrative experience in three acts.,https://chrstphfr.itch.io/the-space-between,Windows,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Milkmaid of the Milky Way,machineboy,"Award-winning, rhyming point'n'click adventure",https://machineboy.itch.io/milkmaid-of-the-milky-way,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Wheels of Aurelia,Santa Ragione,A narrative racing game set in the roaring Italian 70s,https://santaragione.itch.io/wheelsofaurelia,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Beglitched,Hexecutable,a Cyberpink Adventure,https://hexecutable.itch.io/beglitched/download/1bWytFz2LxMz9l1JQq69ntc_maJMr_z2eeogJwFz,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Codemancer,Important Little Games,Programming is Magic,https://importantlittlegames.itch.io/codemancer-ch-1,"Windows, macOS, Android",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Dungeons & Lesbians,Noeybodys,Mildly dating your BFFs in the midsts of a game of D&D,https://noeybodys.itch.io/dungeonsandlesbians,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Wide Ocean Big Jacket,Turnfollow,"A Camping Story starring: Uncle Brad, Aunt Cloanne, Mord (and Ben)",https://turnfollow.itch.io/wide-ocean-big-jacket,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Serre,insertdisc5,A visual novel about a girl and an alien drinking tea and falling in love!,https://insertdisc5.itch.io/serre,"Windows, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
"Wakamarina Valley, New Zealand",caves rd,Atmospheric Photography Simulator set in a riverside forest area of New Zealand,https://cavesrd.itch.io/newzealand,Windows,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Nuclear Throne,Vlambeer,Can you reach the Nuclear Throne?,https://vlambeer.itch.io/nuclear-throne,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Vilmonic,bludgeonsoft,Artificial life and genetics evolution simulator sandbox game.,https://bludgeonsoft.itch.io/vilmonic,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
CanariPack 8BIT TopDown,Canari Games,"8/16BIT 16x16 Tileset, Animated Sprites, Music and SFX for your game project!",https://canarigames.itch.io/canaripack-8bit-topdown,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Far from Noise,George Batchelor,A conversation on the edge of a cliff.,https://georgebatch.itch.io/far-from-noise,"Windows, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Tape,ΛERIF°RM,Intimate project management designed for artists and designers,https://aeriform.itch.io/tape,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Dujanah,jackspinoza,The cost of seeking impossible goals,https://jackspinoza.itch.io/dujanah,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
KIDS,Playables,A game of crowds.,https://playables.itch.io/kids,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Sleepaway,Jay Dragon & co.,Camp counselors protect their wards from a nightmare monster in this GMless horror RPG.,https://jdragsky.itch.io/sleepaway,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Vignettes,Skeleton Business,Toyish surprise-o-rama,https://skeletonbiz.itch.io/vignettes,"Windows, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Intelligent Design: An Evolutionary Sandbox,Pill Bug Interactive,God game with fully simulated genetics and evolution.,https://pillbuginteractive.itch.io/intelligent-design,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
As We Know It,Jaime Scribbles Games,Post-Apocalyptic Visual Novel with Romance and Drama,https://scribbles.itch.io/as-we-know-it,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Sagebrush,Redact Games,Explore a cult compound in this narrative adventure game.,https://redactgames.itch.io/sagebrush,"Windows, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Highway Blossoms: Remastered,Studio Élan,A yuri/girls' love kinetic novel in the American Southwest,https://vnstudioelan.itch.io/highway-blossoms,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Bonbon,Aetheric Games,"A short horror story, about your childhood.",https://aethericgames.itch.io/bonbon,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
The Testimony of Trixie Glimmer Smith,Digital Poppy,Trixie Glimmer Smith finds a haunted book. Hijinks ensue.,https://digital-poppy.itch.io/trixie,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Super Win the Game,J. Kyle Pittman,A retro-core explosion of exploration and platforming action!!,https://piratehearts.itch.io/super-win-the-game,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Super Rad Raygun,TRU FUN Entertainment,Rad Raygun must travel the world fighting communist robots and save the 1980′s by shooting his way through the decade.,https://trufun.itch.io/super-rad-raygun,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Pixel Fireplace,Ted Martens,Roast marshmallows and throw fresh logs onto the fire. Type words to interact. Sit back and enjoy.,https://hammertail.itch.io/pixel-fireplace,"Windows, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Death and Taxes,Placeholder Gameworks,You are the Grim Reaper on an office job. Save the world.. or condemn it to damnation?,https://placeholdergameworks.itch.io/death-and-taxes,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Social Interaction Trainer,googumproduce,Learn how to conduct yourself in social situations.,https://googumproduce.itch.io/sit,"Windows, Linux, macOS, Android",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Signs of the Sojourner,Echodog Games,"An introspective deck-builder about friendship, travel, and collecting snacks.",https://echodog-games.itch.io/signs-of-the-sojourner,"Windows, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Task Force Kampas,ｃａｓｉｏｐｅａ,A classic shoot em' up on steroids.,https://casiopea.itch.io/taskforcekampas,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
For The Honor,Mx. Quinn,Magical Princesses making messy choices.,https://mxquinn.itch.io/for-the-honor,,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
The Night Journey,GameInnovationLab,An Experimental Videogame by Bill Viola and the Game Innovation Lab,https://gameinnovationlab.itch.io/nightjourney,"Windows, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
10S,owch,lift the veil,https://owch.itch.io/10s,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Bleed 2,BootdiskRevolution,"A relentless arcade action game with air-dodging, bullet-reflecting, and tons of bosses.",https://bootdiskrevolution.itch.io/bleed-2,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Fortune-499,apthomson,,https://apthomson.itch.io/fortune-499/download/q7yNN5JDi1TQm2rd6ZieJ2LFl5rGsXOf3bPi3pc1,"Windows, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Social Justice Warriors,Nonadecimal,a satirical game about online interaction,https://nonadecimal.itch.io/socialjusticewarriors,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Glittermitten Grove,Twinbeard,Grow plants and build treehouses in this magical land of faerie delights!,https://twinbeard.itch.io/glittermitten-grove,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Blind Men,Man-Eater Games,A boys' love visual novel about a supervillain and the spies that try to stop him.,https://maneatergames.itch.io/blind-men,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
The Fall of Lazarus,No Wand Studios,A first person exploration science fiction mystery game. Fathom all the story exploring an abandoned cargo spaceship.,https://no-wand-studios.itch.io/the-fall-of-lazarus,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Hello Charlotte EP2: Requiem Aeternam Deo,etherane,The Trial is inevitable.,https://etherane.itch.io/hello-charlotte-ep2,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
TAMASHII,vikintor,Weird Luciferian Puzzle Platformer,https://vikintor.itch.io/tamashii,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Quadrilateral Cowboy,Blendo Games,Twentieth-century Cyberpunk,https://blendogames.itch.io/quadrilateralcowboy/download/JaVj1tzyeMEOyH0RNAhX5cITqyWxCvd614ryqzoZ,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Sewer Rave,Autumn Rain,PARTY WITH RATS,https://slitherpunk.itch.io/sewer-rave,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Imperishable Memories,Jennifer Raye,Shoot em' Up in an Aged Former Reality,https://jenniferraye.itch.io/imperishable-memories,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Multi Platformer Tileset,Shackhal,Various 2D side-scrolling environments on pixel art for your projects!,https://shackhal.itch.io/multi-platformer-tileset,,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
OneShot,futurecat,A surreal puzzle adventure game with unique mechanics / capabilities.,https://futurecat.itch.io/oneshot,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Cardinal Chains,Daniel Nora,An original puzzle game about non-decreasing sequences,https://danijmn.itch.io/cardinalchains,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
DANGEROUS DUELS,Sophie Houlden,Western Local Multiplayer Quick-Draw Deathmatch,https://sophieh.itch.io/dangerousduels,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
SAI,Studio Mutiny,Stop the machines. Save the forest.,https://studiomutiny.itch.io/sai,Windows,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Destiny Fails Us: A New Life,Strawberry Dagger Studio,It's time to start a new life.,https://sbds.itch.io/dfu-otome,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Brassica - A Marry Tale,Boys Laugh +,A fairy tale about political marriages and gay alternatives,https://boyslaughplus.itch.io/brassica-a-marry-tale,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
ECH0,Role Over Play Dead,Peace. Kids playing in mech wreckage. A ghost. One last journey to find a final resting place.,https://roleoverplaydead.itch.io/ech0,,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
The Stillness of the Wind,Fellow Traveller,A quiet game of life and loss.,https://fellowtraveller.itch.io/the-stillness-of-the-wind,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Underhero,Paper Castle,There are no chosen ones.,https://papercastlegames.itch.io/underhero,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Space Station Architect,AL Wyvern,Space Station Map Generator and Editor,https://wyvernindustries.itch.io/stationgen,Windows,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Switch 'N' Shoot,Matt Glanville,Endless arcade action with just ONE button,https://crowbarska.itch.io/switch-n-shoot,"Windows, Linux, macOS, Android",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
The Ground Itself,Everest Pipkin,A tabletop world-building game about places over time,https://everestpipkin.itch.io/the-ground-itself,,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
HPS Cartography Kit,Highland Paranormal Society,Hex tiles for custom cartography!,https://natetreme.itch.io/cartographykit,,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Spooky Ghosts Dot Com,zertuk,"Ruby the ghost hunter has a tough gig this Halloween. Explore the mansion, battle spooky bosses, and rescue lost cats!",https://zertuk.itch.io/spooky-ghosts-dot-com,"Windows, Linux",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Pixel Art Medieval Fantasy Characters Pack,CleanCutGames,Pack of high-quality fantasy pixel art characters.,https://cleancutgames.itch.io/pixelart-fantasy-characters,,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
The White Door,Second Maze,A Rusty Lake puzzle adventure,https://secondmaze.itch.io/the-white-door,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Jimmy and the Pulsating Mass,HousekeepingGames,"Full-Length RPG about childhood, family, dreams, and nightmares.",https://housekeepinggames.itch.io/jimmy-and-the-pulsating-mass,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
The World Begins With You,Fabian Denter,An atmospheric puzzle-platformer-adventure.,https://fabiandenter.itch.io/the-world-begins-with-you,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Heroic Asset Series: Overworld,Aleksandr Makarov,Tiny animated 16x16 tileset with 64 colors!,https://iknowkingrabbit.itch.io/heroic-overworld,,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Speed Dating for Ghosts,Copychaser Games,Wholesome horror conversation sim about death and robbing banks,https://copychaser.itch.io/speeddatingforghosts,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Pixel Art Infinite Runner - Pack,edermunizz,Make a Infinite Runner Game!,https://edermunizz.itch.io/infinite-runner,,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
