title,author,description,link,platforms,pg,example_download_link
Super Rad Raygun,TRU FUN Entertainment,Rad Raygun must travel the world fighting communist robots and save the 1980′s by shooting his way through the decade.,https://trufun.itch.io/super-rad-raygun,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
The Night Journey,GameInnovationLab,An Experimental Videogame by Bill Viola and the Game Innovation Lab,https://gameinnovationlab.itch.io/nightjourney,"Windows, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Social Justice Warriors,Nonadecimal,a satirical game about online interaction,https://nonadecimal.itch.io/socialjusticewarriors,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Hello Charlotte EP2: Requiem Aeternam Deo,etherane,The Trial is inevitable.,https://etherane.itch.io/hello-charlotte-ep2,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
TAMASHII,vikintor,Weird Luciferian Puzzle Platformer,https://vikintor.itch.io/tamashii,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Imperishable Memories,Jennifer Raye,Shoot em' Up in an Aged Former Reality,https://jenniferraye.itch.io/imperishable-memories,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Underhero,Paper Castle,There are no chosen ones.,https://papercastlegames.itch.io/underhero,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
The White Door,Second Maze,A Rusty Lake puzzle adventure,https://secondmaze.itch.io/the-white-door,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Jimmy and the Pulsating Mass,HousekeepingGames,"Full-Length RPG about childhood, family, dreams, and nightmares.",https://housekeepinggames.itch.io/jimmy-and-the-pulsating-mass,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Heroic Asset Series: Overworld,Aleksandr Makarov,Tiny animated 16x16 tileset with 64 colors!,https://iknowkingrabbit.itch.io/heroic-overworld,,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Speed Dating for Ghosts,Copychaser Games,Wholesome horror conversation sim about death and robbing banks,https://copychaser.itch.io/speeddatingforghosts,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Voyageur,Bruno Dias,Permanent descent into ever-changing galaxy.,https://brunodias.itch.io/voyageur,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Metamorphabet,Vectorpark,"A playful, interactive alphabet.",https://vectorpark.itch.io/metamorphabet,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Memoir En Code: Reissue,Alex Camilleri,an · autobiographical · game · album,https://alexkalopsia.itch.io/memoir-en-code-reissue,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Boa Retina,Jennifer Raye,messy gender uncertainty,https://jenniferraye.itch.io/boa-retina,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
this discord has ghosts in it,will jobst,,https://willjobst.itch.io/ghosts,,5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Halloween Forever,Poppy Works,Retro 8-bit spooky Halloween platformer,https://poppyworks.itch.io/halloween-forever,Windows,5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
VEKTOR 2089,Impbox Games,Futuristic Anti-Gravity Racing,https://impbox.itch.io/vektor2089,"Windows, Linux, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
GNOG,KO_OP,Tactile puzzle boxes,https://ko-op.itch.io/gnog,"Windows, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
if not us,ub4q,an IF anthology about five heroes who die,https://ub4q.itch.io/ifnotus,"Windows, Linux, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Four Horsemen,Nuclear Fishin' Software,Leave home. Start anew. Punch racists.,https://nuclearfishinsoftware.itch.io/four-horsemen,"Windows, Linux, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Game Development Cheatsheets - 2018 Edition,allurious,A bumper pack of A4 print-ready fliers that describe various roles in game development and how to get started!,https://allurious.itch.io/cheatsheets2018,,5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Silicon Zeroes,PleasingFungus,Make a computer from scratch!,https://pleasingfungus.itch.io/silicon-zeroes,"Windows, Linux, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
a new life.,Angela He,"When your loved one hurts you, what do you do? A classic love story about letting go.",https://zephyo.itch.io/a-new-life,"Windows, Linux, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Trawl,House Of Wire,​Trawl the sea to discover what secrets are hidden in its depths and record your findings on your typewriter.,https://houseofwire.itch.io/trawl,"Windows, Linux, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
SilverQuest Gaiden,Wolfgame,A 1bit dungeon crawler.,https://wolfgame.itch.io/silverquest-gaiden,Windows,6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
The Search,Jason Godbey,A story-driven puzzle-adventure set in a mysterious world where art comes to life!,https://jasongodbey.itch.io/the-search,Windows,6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
BALIKBAYAN: Returning Home,Jamila R. Nedjadi,A Supernatural-Cyberpunk Revolution,https://temporalhiccup.itch.io/balikbayan,,6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Butterflies - Episode 1,Le Capitaine,Do you understand the concept of love?,https://le-capitaine.itch.io/butterflies-episode-1,"Windows, Linux, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Last Word,Merlandese,Sophisticated RPG mystery where methods of discourse hold secret power,https://merlandese.itch.io/last-word,"Windows, Linux",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
My Friend Took Me To A Feline Therapy Place For My Anxiety And I’m Starting To Wonder Where The Cats Are?,Alex Zandra,"An illustrated light novel about dealing with anxiety, cats, and gender feels",https://zandravandra.itch.io/felinetherapy,,6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Golf Peaks,afterburn,golf + cards + puzzles,https://afterburn.itch.io/golf-peaks,"Windows, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Hex Kit: Spaceland Part One; Space,Cone Of Negative Energy,Sci-Fi themed tiles for Hex Kit!,https://cone.itch.io/spaceland,,6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
ETHEREAL,Nonsense Arts,Unknown and mysterious world surrounded by carefully designed puzzles,https://nonsensearts.itch.io/ethereal,"Windows, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Witchball,S.L.Clark,2017 // Post-Reality Racing,https://eselsi.itch.io/witchball,Windows,6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Galactic Wars,VolcanoBytes,a 8bit Space shooter in Pico 8,https://volcanobytes.itch.io/galactic-wars,"Windows, Linux, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Ironsworn: Delve,Shawn Tomkin,A massive expansion and toolkit for the Ironsworn tabletop roleplaying game.,https://shawn-tomkin.itch.io/ironsworn-delve,,6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Master Spy,TURBOGUN,Throw on your invisibility cloak and put your reflexes to the test in this brutal precision platformer,https://turbogun.itch.io/master-spy,"Windows, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Steam Marines 2,WorthlessBums,Steam Marines 2 - a steampunk tactics game,https://worthlessbums.itch.io/steam-marines-2,"Windows, Linux, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
starseed pilgrim,droqen,a pleasant mystery box. a soft puzzle game.,https://droqen.itch.io/starseedpilgrim,"Windows, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
RPG Items - Retro Pack,Emberheart Games,591 retro styled item RPG items,https://emberheartgames.itch.io/rpg-items-retro-pack,,7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Ruya,Miracle Tea,A game about dreams and motherhood,https://miracle-tea.itch.io/ruya,Windows,7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Rooftop Cop,S.L.Clark,2014 // A collection of five games + album,https://eselsi.itch.io/rooftop-cop,"Windows, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
NEXT JUMP: Shmup Tactics,Post Mortem Pixels,"NEXT JUMP is a turn-based, tactics Shoot 'em up for people who are bad at SHMUPs, but love them.",https://postmortempixels.itch.io/nextjump,"Windows, Linux, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Shrug Island - The Meeting,Tiny Red Camel,"A warmly wistful adventure about reconnecting nature, friendship and hidden pasts",https://tinyredcamel.itch.io/shrug-island-the-meeting,"Windows, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
BADBLOOD,Winnie Song,a deadly game of hide and seek,https://wsong.itch.io/badblood,"Windows, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
The Floor is Jelly,iansnyder,What if everything you touched was made out of jelly?,https://iansnyder.itch.io/the-floor-is-jelly,"Windows, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Radical Solitaire,Vector Hat,Never a bad deal. Always a RAD DEAL!,https://vectorhat.itch.io/radsol,"Windows, Linux, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Mendel,OwenTheBell,Chill sandbox for growing weird plants from alien genetics.,https://owenthebell.itch.io/mendel,"Windows, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Seduce Me The Complete Story,Michaela Laws,"The Complete Story of the Demon Arc ""Seduce Me the Otome""",https://vamichaelalaws.itch.io/seduce-me-the-complete-story,"Windows, Linux, macOS, Android",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
please,somewhat,A horror short,https://somewhat.itch.io/please,"Windows, Linux, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Soft Body,Zeke Virant,"Meditate in bullet heaven (Soundtrack & Steam key included, free demo)",https://godzekesatan.itch.io/soft-body,"Windows, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
[Speer],and0,Use your Speer as a platform!,https://ohsat-andrej.itch.io/speer,"Windows, Linux, macOS",8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Michtim: Fluffy Adventures,Georg Mir,A heartwarming TTRPG about hamster-like beings  going on missions to save their Immergrummel Woods,https://grimogre.itch.io/michtim,,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Kingdom Ka,carrotcake,A retelling of the world's oldest stories.,https://carrotcakestudio.itch.io/kingdomka,"Windows, Linux, macOS",8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Super Slime Arena,JellyTeam,"Slimy 16-bit style, party-fighting game using any controller in 2-50+ multiplayer matches!",https://jellyteam.itch.io/super-slime-arena,"Windows, Linux, macOS",8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
RISK SYSTEM,RISK SYSTEM,High speed kinetic action. Danger is the best offense!,https://risksystem.itch.io/rs,"Windows, Linux, macOS",8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Puzzle Puppers,Cardboard Keep,A game about draggin' out doggos.,https://cardboardkeep.itch.io/puzzle-puppers,"Windows, Linux, macOS",8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
"Damn the Man, Save the Music!",Make Big Things,"A roleplaying game about music, growing up, and dreaming big in a world that wants to make you small.",https://makebigthings.itch.io/damntheman,,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Spooky Station,Estúdio Vaca Roxa,Welcome to Spooky Station! A Halloween-themed game pack for all ages.,https://bakudas.itch.io/spooky-station,Windows,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Jam and the Mystery of the Mysteriously Spooky Mansion,Res,A reverse whodunnit point-and-click game.,https://arc-res.itch.io/jam-and-the-mystery-of-the-mysteriously-spooky-mansion,"Windows, Linux, macOS",8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
The Away Team,Underflow Studios,"In this interactive sci-fi adventure novel, you are the AI pilot of Earth's last interstellar ship.",https://underflow-studios.itch.io/the-away-team,"Windows, Linux, macOS",8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Feathers,Remiel Garreau,a slice-of-life game of fallen angels and Belonging Outside Belonging,https://remiel-garreau.itch.io/feathers,,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Blitz Breaker,Boncho Games,A fast paced platformer without...running?,https://boncho-games.itch.io/blitz-breaker,Windows,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Newfound Courage,Curtis,A story-driven game about a gay hero who falls in love with his best friend while the world unravels around them.,https://newfoundcourage.itch.io/newfound-courage,"Windows, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
"Nina Aquila: Legal Eagle, Chapter II: ""Broken Wings""",Ethan Fox,Fight for justice in Chapter II of this anime-themed graphic adventure game!,https://ethan-fox.itch.io/nina-aquila-legal-eagle-ii-broken-wings,Windows,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Football Drama,Open Lab Games,A football game about poets & crooks,https://open-lab-games.itch.io/football-drama,"Windows, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Please Follow,somewhat,A horror short,https://somewhat.itch.io/pleasefollow,"Windows, Linux, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
WE ARE DOOMED,Vertex Pop,"Zap polygon baddies in a neon, geometric glitch world.",https://vertexpop.itch.io/we-are-doomed,"Windows, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
FLAMBERGE,HYDEZEKE,FLAMBERGE is a turn-based tactics RPG featuring free movement and simultaneous turns.,https://hydezeke.itch.io/flamberge,"Windows, Linux, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Blue Rose,WhiteCat,Fantasy romance visual novel,https://whitecat.itch.io/blue-rose,"Windows, Linux, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
The Müll Littoral,Librarium Studios,Anxiety is your curse. A heroic journey will be your treatment.,https://librarium-studios.itch.io/themulllittoral,"Windows, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Resistance is Fruitile,PhasePixel,A challenging twin stick shooter jam-packed with sinister fruit monsters and plenty of firepower to take them on!,https://phasepixel.itch.io/resistanceisfruitile,"Windows, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Lew Pulsipher's Doomstar,LargeVisibleMachine,The hidden unit board game of strategy and cunning,https://largevisiblemachine.itch.io/doomstar,"Windows, Linux, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Erth,Artful Diversions,A challenging infinite top-down sandbox RPG with crafting and exploring elements.,https://adiv.itch.io/erth,Windows,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Shutter Stroll,Jannik Boysen,generative photography simulator,https://jannikboysen.itch.io/shutterstroll,"Windows, Linux, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Rising Dusk,Studio Stobie,An anti-coin collectable platformer inspired by Japanese folktales.,https://studiostobie.itch.io/risingdusk,"Windows, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Windosill,Vectorpark,The classic point-and-click puzzle-toy.,https://vectorpark.itch.io/windosill,"Windows, Linux, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
PARTICLE MACE,AndyMakes,A space game about swinging trash into things and dying,https://andymakes.itch.io/particlemace,"Windows, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Flux,Mars Ashton,A cyberpunk reflective/beatemup/rhythm/typing/fiction/fidget game with a soundtrack you can customize!,https://nujakujata.itch.io/flux,"Windows, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Lava Caves - Fantasy Pixel Art Tileset,aamatniekss,Fantasy Lava Caves tileset,https://aamatniekss.itch.io/lava-caves-tileset,,9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Volo Airsport,Ramjet Anvil,"Wear a wingsuit, fly your body, hug the mountain, try again",https://ramjetanvil.itch.io/volo-airsport,"Windows, Linux, macOS",9,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=9
Headliner: NoviNews,Unbound Creations,"Award-winning adventure where you control the news and its impact on society, your friends and career.",https://unboundcreations.itch.io/headliner-novinews,"Windows, Linux, macOS",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
DROPSHIP,MINIGOLIATH,Hardcore gravity-bending lander game.,https://minigoliath.itch.io/dropship,Windows,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Monster Pub Chapter 1,alex ilitchev,A casual narrative game about making friends!,https://ilitchev.itch.io/monster-pub-1,"Windows, macOS",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Forgiveness : Escape Room,Chaos Minds,Escape Room Affected By A Personality Test Based On The Seven Deadly SIns,https://chaosminds.itch.io/forgiveness,"Windows, Linux, macOS",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
DERE EVIL .EXE,"AppSir, Inc.",Please Don't Play This Game Too,https://appsir.itch.io/dere-evil-exe,Windows,10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
Helium Rain,Deimos Games,A realistic space sim for PC,https://deimos-games.itch.io/helium-rain,"Windows, Linux",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
"1,000 Heads Among the Trees",Aaron Oldenburg,Nighttime exploration of an eccentric town in the Peruvian desert,https://aaronoldenburg.itch.io/1000-heads-among-the-trees,"Windows, macOS",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
A Hole New World,MadGearGames,Fight the hordes of Shadows that come out  from the Underworld through thousand of holes,https://madgeargames.itch.io/a-hole-new-world,"Windows, Linux, macOS",10,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=10
